Starting solana-test-validator
Ledger path: /var/lib/solana/ledger
Reset ledger: true
RPC bind address: 0.0.0.0
RPC port: 8899
Geyser enabled: true

Notice! No wallet available. `solana airdrop` localnet SOL after creating one

Ledger location: /var/lib/solana/ledger
Log: /var/lib/solana/ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: BY4V6ZUvPwB7m6jFrpn1NuXybvHB3MxTveYZsm1RYsPg
Genesis Hash: muSkct4wuMA2tbhYDrmbSwF5YWb2BwvV9omxvyxR3VE
Version: 1.18.25
Shred Version: 3670
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:29 | Processed Slot: 66 | Confirmed Slot: 65 | Finalized Slot: 34 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 65 | ◎499.999680000
00:00:29 | Processed Slot: 66 | Confirmed Slot: 66 | Finalized Slot: 34 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 65 | ◎499.999675000
00:00:30 | Processed Slot: 67 | Confirmed Slot: 67 | Finalized Slot: 35 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 66 | ◎499.999670000
00:00:30 | Processed Slot: 67 | Confirmed Slot: 67 | Finalized Slot: 35 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 66 | ◎499.999670000
00:00:30 | Processed Slot: 68 | Confirmed Slot: 68 | Finalized Slot: 36 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 67 | ◎499.999665000
00:00:30 | Processed Slot: 69 | Confirmed Slot: 69 | Finalized Slot: 37 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 68 | ◎499.999660000
00:00:31 | Processed Slot: 69 | Confirmed Slot: 69 | Finalized Slot: 37 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 68 | ◎499.999660000
00:00:31 | Processed Slot: 70 | Confirmed Slot: 70 | Finalized Slot: 38 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 69 | ◎499.999655000
00:00:31 | Processed Slot: 70 | Confirmed Slot: 70 | Finalized Slot: 38 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 69 | ◎499.999655000
00:00:31 | Processed Slot: 71 | Confirmed Slot: 71 | Finalized Slot: 39 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 70 | ◎499.999650000
00:00:32 | Processed Slot: 72 | Confirmed Slot: 72 | Finalized Slot: 40 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 71 | ◎499.999645000
00:00:32 | Processed Slot: 72 | Confirmed Slot: 72 | Finalized Slot: 40 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 71 | ◎499.999645000
